"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 30 18:15:20 CEST 2021","Mon Aug 30 18:15:24 CEST 2021","3962","","","","","","Open datasets page",""
"passed","Mon Aug 30 18:15:14 CEST 2021","Mon Aug 30 18:15:17 CEST 2021","2744","","","","","","Redirect to forgot password page",""
"passed","Mon Aug 30 18:15:26 CEST 2021","Mon Aug 30 18:15:30 CEST 2021","4278","","","","","","Open Profile page",""
"passed","Mon Aug 30 18:15:17 CEST 2021","Mon Aug 30 18:15:20 CEST 2021","2702","","","","","","Back to login page from forgot password page",""
"passed","Mon Aug 30 18:15:10 CEST 2021","Mon Aug 30 18:15:12 CEST 2021","1986","","","","","","Invalid email address",""
"passed","Mon Aug 30 18:15:24 CEST 2021","Mon Aug 30 18:15:26 CEST 2021","2077","","","","","","Open my account page",""
"failed","Mon Aug 30 18:15:34 CEST 2021","Mon Aug 30 18:15:39 CEST 2021","5419","","","","","","Not auth user cannot open dataset page and auth user callback url dataset",""
"passed","Mon Aug 30 18:15:12 CEST 2021","Mon Aug 30 18:15:14 CEST 2021","2173","","","","","","Invalid password",""
"passed","Mon Aug 30 18:15:30 CEST 2021","Mon Aug 30 18:15:34 CEST 2021","4014","","","","","","Logout success",""
"passed","Mon Aug 30 18:15:06 CEST 2021","Mon Aug 30 18:15:10 CEST 2021","3648","","","","","","Success login",""
